,Place_name,Latitude,Longitude,Address,Borough,Neighborhood,Category_name
0,Throggs Neck Volunteer Ambulance,40.821257,-73.818201,"3955 E Tremont Ave (Sampson Ave), Bronx, NY 10465",Bronx,Silver Beach,Health and Medicine
0,Metro Optics Eyewear - Throggs Neck,40.823466,-73.83735,"815 Hutchinson River Pkwy, Bronx, NY 10465",Bronx,Castle Hill,Health and Medicine
0,Jacquelyn B Afari,40.861627,-73.86972,"2409 Barker Ave, Bronx, NY 10467",Bronx,Allerton,Health and Medicine
0,Medical Office,40.862434,-73.840551,"2460 Mickle Ave (Mace), Bronx, NY 10469",Bronx,Pelham Parkway,Health and Medicine
0,Morrisania D&Tc,40.836106,-73.920149,"1225 Gerard Ave, Bronx, NY 10452",Bronx,Concourse,Health and Medicine
0,Bronx Medical Care Assoc PC,40.832337,-73.851451,"1217 Castle Hill Ave, Bronx, NY 10462",Bronx,Parkchester,Health and Medicine
0,Innervision Sonograph,40.891616,-73.84673,"4064 Bruner Ave, Bronx, NY 10466",Bronx,Edenwald,Health and Medicine
0,"Himani Goyal, MD",40.627622,-74.026077,"7901 4th Ave, Brooklyn, NY 11209",Brooklyn,Bayridge,Health and Medicine
0,Andre J Singer DDS,40.612984,-74.000527,"7810 17th Ave, Brooklyn, NY 11214",Brooklyn,New Utrecht,Health and Medicine
0,"Tsai, Christina Nyu Langone Brooklyn 7th Avenue Family Health Clinic",40.642331,-74.006401,"5008 7th Ave (50th Street), Brooklyn, NY 11220",Brooklyn,Sunset Park,Health and Medicine
0,Tribeca Pediatrics,40.722633,-73.949388,"288 Driggs Ave (Leonard St), Brooklyn, NY 11222",Brooklyn,Greenpoint,Health and Medicine
0,Faithful Friends Animal Hospital,40.591994,-73.973633,"2455 McDonald Ave, Brooklyn, NY 11223",Brooklyn,Gravesend,Health and Medicine
0,Leon Stepensky,40.576134,-73.964792,"3111 Brighton 2nd St, Brooklyn, NY 11235",Brooklyn,Brighton Beach,Health and Medicine
0,"Aizman Alexander, MD",40.589098,-73.949748,"2960 Ocean Ave, Brooklyn, NY 11235",Brooklyn,Sheepshead Bay,Health and Medicine
0,Best Medical,40.610662,-73.958377,"1599 E 15th St, Brooklyn, NY 11230",Brooklyn,Manhattan Terrace,Health and Medicine
0,Quest Diagnostics,40.635191,-73.96368,"1416 Newkirk Ave, Brooklyn, NY 11226",Brooklyn,Ditmas Park West,Health and Medicine
0,The Dermatology Specialists - Crown Heights,40.669346,-73.947997,"614 Eastern Pkwy, Brooklyn, NY 11225",Brooklyn,Crown Heights,Health and Medicine
0,Doshi Diagnostics,40.648818,-73.943767,"1014 Brooklyn Ave (btwn Tilden & Snyder Ave.), Brooklyn, NY 11203",Brooklyn,East Flatbush,Health and Medicine
0,Brooklyn Medical Group PC,40.64327,-73.979768,"446 McDonald Ave, Brooklyn, NY 11218",Brooklyn,Kensington,Health and Medicine
0,Park Sports Physical T,40.660867,-73.990656,"670 6th Ave (20th St.), Brooklyn, NY 11215",Brooklyn,Park Slope,Health and Medicine
0,Pediatrics Associates,40.67602,-73.970374,"20 Plaza St E (Vanderbilt), Brooklyn, NY 11238",Brooklyn,Park Slope,Health and Medicine
0,BMS Family Health Center,40.665919,-73.900476,"360 Snediker Ave, Brooklyn, NY 11207",Brooklyn,Brownsville,Health and Medicine
0,Medspan Associates,40.711179,-73.9582,"231 S 3rd St, Brooklyn, NY 11211",Brooklyn,South Side,Health and Medicine
0,"Uday Shah, MD",40.703883,-73.915109,"199 Saint Nicholas Ave (St. Nicholas Avenue and Harman Street), Brooklyn, NY 11237",Brooklyn,Bushwick,Health and Medicine
0,Bedford Stuyvesant Family Health Center,40.680273,-73.944535,"1456 Fulton St (btwn Brooklyn & Kingston), Brooklyn, NY 11216",Brooklyn,Bedford,Health and Medicine
0,Brooklyn Dental Studio,40.694361,-73.991972,"185 Montague St (Clinton), Brooklyn, NY 11201",Brooklyn,Brooklyn Heights,Health and Medicine
0,NYU Langone Medical Center Cobble Hill,40.689942,-73.997862,"339 Hicks St, Brooklyn, NY 11201",Brooklyn,Brooklyn Heights,Health and Medicine
0,Dental Care of Cobble Hill,40.679825,-73.999164,"62 2nd Pl, Brooklyn, NY 11231",Brooklyn,Carroll Gardens,Health and Medicine
0,Dental Care of Cobble Hill,40.679825,-73.999164,"62 2nd Pl, Brooklyn, NY 11231",Brooklyn,Carroll Gardens,Health and Medicine
0,Dental Care of Cobble Hill,40.679825,-73.999164,"62 2nd Pl, Brooklyn, NY 11231",Brooklyn,Carroll Gardens,Health and Medicine
0,The Brooklyn Hospital Center,40.690104,-73.977933,"121 Dekalb Ave (at Ashland Pl.), Brooklyn, NY 11201",Brooklyn,Clinton Hill,Health and Medicine
0,One Medical,40.674642,-73.976171,"794 Union St, Brooklyn, NY 11215",Brooklyn,Park Slope,Health and Medicine
0,Housing Works Community Health Center,40.674789,-73.874645,"2640 Pitkin Ave, Brooklyn, NY 11208",Brooklyn,City Line,Health and Medicine
0,Housing Works Community Health Center,40.674789,-73.874645,"2640 Pitkin Ave, Brooklyn, NY 11208",Brooklyn,City Line,Health and Medicine
0,Davis Visionworks,40.653903,-73.871654,"494 Gateway Dr, Brooklyn, NY 11239",Brooklyn,Spring Creek,Health and Medicine
0,Birch Family Services,40.639113,-73.899388,"1321 E 94th St, Brooklyn, NY 11236",Brooklyn,Canarsie,Health and Medicine
0,Avenue J Medical Center,40.627395,-73.936979,"4010 Avenue J, Brooklyn, NY 11210",Brooklyn,Flatlands,Health and Medicine
0,Concept Sharpening / Steve's Sharpening Service,40.610448,-73.911905,"2248 E 59th Pl, New York, NY 11234",New York,Mill Island,Health and Medicine
0,Menorah,40.576152,-73.93803,"1516 Oriental Blvd, Brooklyn, NY 11235",Brooklyn,Manhattan Beach,Health and Medicine
0,St Joachim & Anne Residences,40.57251,-73.99324,"2720 Surf Ave, Brooklyn, NY 11224",Brooklyn,Coney Island,Health and Medicine
0,JAG-ONE Physical Therapy,40.59961,-73.996613,"8718 Bay Pkwy, Brooklyn, NY 11214",Brooklyn,Bath Beach,Health and Medicine
0,Pediatric Ophthalmic Conslnts,40.631396,-73.986493,"1552 49th St, Brooklyn, NY 11219",Brooklyn,Kensington,Health and Medicine
0,Bravo Volunteer Ambulance Service,40.618988,-74.020723,"8507 7th Ave (86th St), Brooklyn, NY 11228",Brooklyn,Dyker Heights,Health and Medicine
0,Positive Life,40.592683,-73.925241,"2726 Gerritsen Ave, Brooklyn, NY 11229",Brooklyn,Gerritsen,Health and Medicine
0,JAG-ONE Physical Therapy,40.608545,-73.924765,"4013 Avenue U (Coleman), Brooklyn, NY 11234",Brooklyn,Mill Island,Health and Medicine
0,"MedRite Urgent Care, Clinton Hill",40.693322,-73.964578,"504 Myrtle Ave (Ryerson), Brooklyn, NY 11205",Brooklyn,Clinton Hill,Health and Medicine
0,Shorefront Jewish Geriatric Center,40.572637,-73.994507,"3015 W 29th St, Brooklyn, NY 11224",Brooklyn,Coney Island,Health and Medicine
0,Brooklyn Hospital Labor & Delivery,40.69048,-73.977991,"Dekalb Ave, Brooklyn, NY 11201",Brooklyn,Clinton Hill,Health and Medicine
0,CityMD Boerum Hill Urgent Care - Brooklyn,40.686162,-73.982184,"457 Atlantic Ave (Nevins Street), New York, NY 11217",New York,Boerum Hill,Health and Medicine
0,New Generation Medical Practice,40.660319,-73.957023,"1854 Bedford Ave (Maple St.), Brooklyn, NY 11225",Brooklyn,Prospect,Health and Medicine
0,Advantage Care/ Emblem Health East New York,40.675403,-73.896469,"101 Pennsylvania Ave (Atlantic Avenue), New York, NY 11207",New York,Broadway Junction,Health and Medicine
0,X Collado Dental Center,40.679902,-73.860443,"10105 77th St, Ozone Park, NY 11416",Ozone Park,City Line,Health and Medicine
0,Performance Edge Chiropractic,40.619845,-73.906857,"7112 Avenue U, Brooklyn, NY 11234",Brooklyn,Georgetown,Health and Medicine
0,Centers Urgent Care,40.625747,-73.958261,"1811 Avenue J, Brooklyn, NY 11230",Brooklyn,Midwood,Health and Medicine
0,PAWSitive Veterinary of New York,40.647279,-73.968985,"1103 Church Ave (Stratford Road), Brooklyn, NY 11218",Brooklyn,Prospect Park Sout,Health and Medicine
0,Doshi Diagnostic Imaging,40.619063,-73.916061,"6309 Mill Ln (64th & 65th Streets), Brooklyn, NY 11234",Brooklyn,Georgetown,Health and Medicine
0,Woodpoint Dental,40.716132,-73.941919,"234 Skillman Ave (Woodpoint Rd), Brooklyn, NY 11211",Brooklyn,East Williamsburg,Health and Medicine
0,Medspan Associates,40.711179,-73.9582,"231 S 3rd St, Brooklyn, NY 11211",Brooklyn,South Side,Health and Medicine
0,Medspan Associates,40.711179,-73.9582,"231 S 3rd St, Brooklyn, NY 11211",Brooklyn,South Side,Health and Medicine
0,Ocean Parkway Family Practice,40.616764,-73.969805,"514 Avenue M, Brooklyn, NY 11230",Brooklyn,Ocean Parkway,Health and Medicine
0,Suny Downstate Of Bayridge,40.617312,-74.028801,"520A 92nd St, Brooklyn, NY 11209",Brooklyn,Bayridge,Health and Medicine
0,Mount Sinai Doctors - Delancey Street,40.719039,-73.988752,"104 Delancey St (Ludlow Street), New York, NY 10002",New York,Chinatown,Health and Medicine
0,Eduardo Belandria,40.84948,-73.937287,"706 W 180th St, New York, NY 10033",New York,Fort George,Health and Medicine
0,Evydent Dentistry PC,40.867551,-73.924054,"29 Cooper St (btwn W 204th St and Academy St.), New York, NY 10034",New York,Fort George,Health and Medicine
0,Harlem Hospital Center,40.814409,-73.940059,"506 Malcolm X Blvd, New York, NY 10037",New York,Central Harlem,Health and Medicine
0,Uptown Dermatology,40.809428,-73.952726,"258 Saint Nicholas Ave, New York, NY 10027",New York,Central Harlem,Health and Medicine
0,Harlem Hospital Center,40.814409,-73.940059,"506 Malcolm X Blvd, New York, NY 10037",New York,Central Harlem,Health and Medicine
0,EYEPIC Harlem Eye Care,40.796748,-73.938247,"2249 2nd Ave, New York, NY 10029",New York,Spanish Harlem,Health and Medicine
0,Lenox Hill Hospital,40.773905,-73.960688,"100 E 77th St (at Lexington Ave), New York, NY 10075",New York,Lenox Hill,Health and Medicine
0,CityMD E 86th St,40.777097,-73.95052,"336 E 86th St (btwn 1st & 2nd Aves), New York, NY 10028",New York,Upper East Side,Health and Medicine
0,Zuckerman Research Center,40.765216,-73.956835,"410 E 69th St, New York, NY 10021",New York,Lenox Hill,Health and Medicine
0,NewYork-Presbyterian Hospital - Emergency Department,40.764319,-73.954092,"525 E 68th St (at York Ave.), New York, NY 10065",New York,Lenox Hill,Health and Medicine
0,West End Chiropractic,40.787558,-73.979073,"495 W End Ave, New York, NY 10024",New York,Upper West Side,Health and Medicine
0,Goel Anupama Mount Sinai Heart New York,40.769789,-73.985458,"425 W 59th St, New York, NY 10019",New York,Lincoln Square,Health and Medicine
0,Group Health Dental,40.755725,-73.988707,"230 W 41st St, New York, NY 10036",New York,Midtown,Health and Medicine
0,Tend,40.754545,-73.97643,"230 Park Ave, New York, NY 10169",New York,East Side,Health and Medicine
0,NYU Langone Neurology Consultants of NY,40.749267,-73.974084,"222 E 41st St, New York, NY 10017",New York,East Side,Health and Medicine
0,Callen-Lorde Community Health Center,40.743086,-74.003103,"356 W 18th St (btw 8th & 9th), New York, NY 10011",New York,Chelsea,Health and Medicine
0,Spring Ob/Gyn,40.724108,-74.000738,"135 Spring St (Between Wooster and Greene Streets), New York, NY 10012",New York,Downtown,Health and Medicine
0,"Rousso, Joseph Dr - The New York Eye and Ear Infirmary of Mount Sinai Otolaryngology",40.731988,-73.984632,"310 E 14th St (2nd Ave), New York, NY 10003",New York,East Village,Health and Medicine
0,Joan H. & Preston Robert Tisch Center at Essex Crossing,40.717237,-73.985582,"171 Delancey St, New York, NY 10002",New York,Downtown,Health and Medicine
0,Common Point,40.718104,-74.009274,"3 Jay St (Hudson St), New York, NY 10013",New York,Civic Center,Health and Medicine
0,CP Advanced Imaging,40.716571,-73.99625,"155 Canal St, New York, NY 10013",New York,Chinatown,Health and Medicine
0,Spring Ob/Gyn,40.724108,-74.000738,"135 Spring St (Between Wooster and Greene Streets), New York, NY 10012",New York,Downtown,Health and Medicine
0,Abingdon Square Veterinary Clinic,40.734535,-74.000145,"130 W 10th St (Greenwich Ave), New York, NY 10014",New York,Downtown,Health and Medicine
0,Ryan Health,40.793644,-73.967551,"110 W 97th St, New York, NY 10025",New York,Manhattan Valley,Health and Medicine
0,Mount Sinai Morningside Main Hospital Entrance,40.805632,-73.961413,"1111 Amsterdam Ave (at West 114th St.), New York, NY 10025",New York,Harlem,Health and Medicine
0,VA Medical Center,40.736876,-73.977444,"423 E 23rd St (at 1st Ave), New York, NY 10010",New York,Bellevue,Health and Medicine
0,One Medical,40.71672,-74.009305,"25 Hudson St, New York, NY 10013",New York,City Hall Area,Health and Medicine
0,Chung Ying Physical Therapy & Acupuncture,40.707037,-74.0077,"80 Maiden Ln, New York, NY 10038",New York,Downtown,Health and Medicine
0,Motion Sports Medicine,40.769926,-73.923853,"2717 Crescent St, Astoria, NY 11102",Astoria,Astoria,Health and Medicine
0,City Central Dermatology,40.745864,-73.890975,"4037 74th St (74th Street), Elmhurst, NY 11373",Elmhurst,Elmhurst,Health and Medicine
0,Statcare Urgent & Walk-In Medical Care (Jackson Heights),40.755199,-73.886823,"80-10 Northern Blvd, New York, NY 11372",New York,Jackson Heights,Health and Medicine
0,First Choice Dental,40.745511,-73.883888,"8114 Baxter Ave, Elmhurst, NY 11373",Elmhurst,Elmhurst,Health and Medicine
0,Schwab Yolanda Cross Bay Medical Service s PC,40.658699,-73.840534,"15905 92nd St (159 Ave & 92nd St), Howard Beach, NY 11414",Howard Beach,Hamilton Beach,Health and Medicine
0,Fishman CTR For Total Eye Care,40.732523,-73.866861,"9229 Queens Blvd, Rego Park, NY 11374",Rego Park,LeFrak City,Health and Medicine
0,Wachtel Nina,40.725698,-73.845092,"10828 68th Dr, Forest Hills, NY 11375",Forest Hills,Forest Hills,Health and Medicine
0,Metropolitan Smiles,40.705732,-73.830975,"11956 Metropolitan Ave (Brevoort Street), Kew Gardens, NY 11415",Kew Gardens,Briarwood,Health and Medicine
0,First Class Medical Pc,40.698383,-73.833722,"8715 115th St, New York, NY 11418",New York,Richmond Hill,Health and Medicine
0,Lnw Medical Office,40.762728,-73.83158,"13604 Northern Blvd, Flushing, NY 11354",Flushing,Down Town Flushing,Health and Medicine
0,Boro Dental Arts,40.749315,-73.936,"29-22 Northern Blvd, New York, NY 11101",New York,Long Island City,Health and Medicine
0,CityMD Sunnyside Urgent Care- Queens,40.742584,-73.917228,"4716 Greenpoint Ave, Sunnyside, NY 11104",Sunnyside,Dutch Kills,Health and Medicine
0,Shop Eyeglasses Today,40.752272,-73.870817,"3537 Junction Blvd, Corona, NY 11368",Corona,Corona,Health and Medicine
0,Interstate Vets,40.727824,-73.891876,"7108 Grand Ave, Maspeth, NY 11378",Maspeth,Maspeth,Health and Medicine
0,A Animal Clinic of Queens,40.709355,-73.899001,"6512 Fresh Pond Rd (Gates ave), Ridgewood, NY 11385",Ridgewood,Fresh Pond,Health and Medicine
0,Main Street Radiology,40.710442,-73.865703,"8314 Cooper Ave, Glendale, NY 11385",Glendale,Glendale,Health and Medicine
0,North Shore LIJ Forest Hills Hospital Medical Library,40.728818,-73.853761,"9931 66th Ave, Rego Park, NY 11374",Rego Park,Forest Hills,Health and Medicine
0,"Queens Medical Office, PC",40.693256,-73.861017,"8615 Forest Pkwy, Woodhaven, NY 11421",Woodhaven,Woodhaven,Health and Medicine
0,R & I Dental,40.68369,-73.84741,"9302 101st Ave, Ozone Park, NY 11416",Ozone Park,Woodhaven,Health and Medicine
0,54I 10-89,40.667007,-73.789656,"N Conduit Ave (150 St), Jamaica, NY 11434",Jamaica,South Jamaica,Health and Medicine
0,ProHEALTH Urgent Care of College Point,40.786623,-73.836241,"1 14TH Ave, College Point, NY 11356",College Point,College Point,Health and Medicine
0,Drs. Levitt and Ganci DDS,40.780706,-73.801681,"16034 Willets Point Blvd (Francis Lewis Boulevard), Whitestone, NY 11357",Whitestone,Whitestone,Health and Medicine
0,"Kruger Stephen, DDS",40.767878,-73.777682,"20944 35th Ave, Queens, NY 11361",Queens,Bayside,Health and Medicine
0,CityMD Auburndale Urgent Care - Queens,40.757579,-73.790209,"191-20 Northern Blvd, New York, NY 11358",New York,Bayside,Health and Medicine
0,Caliper Orthodontics,40.772199,-73.734546,"25503 Northern Blvd (Morgan St), Little Neck, NY 11362",Little Neck,Little Neck,Health and Medicine
0,Caliper Orthodontics,40.772199,-73.734546,"25503 Northern Blvd (Morgan St), Little Neck, NY 11362",Little Neck,Little Neck,Health and Medicine
0,Zucker Hillside Hospital,40.749769,-73.712078,"7559 263rd St, Glen Oaks, NY 11004",Glen Oaks,Glen Oaks,Health and Medicine
0,Brighter Dental Center,40.725944,-73.718048,"24902 Jericho Tpke, Floral Park, NY 11001",Floral Park,Bellaire,Health and Medicine
0,Healing Rays,40.728486,-73.810054,"7161 159th St, Fresh Meadows, NY 11365",Fresh Meadows,Pomonok,Health and Medicine
0,Fresh Meadows Animal Clinic,40.730264,-73.778252,"19209 Union Tpke, Fresh Meadows, NY 11366",Fresh Meadows,Fresh Meadows,Health and Medicine
0,Queens Hospital Center,40.717144,-73.804372,"8268 164th St, Jamaica, NY 11432",Jamaica,Jamaica Hills,Health and Medicine
0,Family Foot Care In Queens,40.703882,-73.797927,"16110 Jamaica Ave, Jamaica, NY 11432",Jamaica,Jamaica,Health and Medicine
0,Krg Medical PC,40.717532,-73.739759,"21533 Jamaica Ave, Queens Village, NY 11428",Queens Village,Cambria Heights,Health and Medicine
0,Emt Services,40.692241,-73.76581,"18025 Linden Blvd, Jamaica, NY 11434",Jamaica,St. Albans,Health and Medicine
0,Queens Li Medical Group,40.672826,-73.770546,"16959 137th Ave, Jamaica, NY 11434",Jamaica,Locust Manor,Health and Medicine
0,Rosedale Dental,40.657236,-73.745471,"23520 147th Ave, Rosedale, NY 11422",Rosedale,Brookville,Health and Medicine
0,Nova Medical,40.602172,-73.752609,"1925 Cornaga Ave, Far Rockaway, NY 11691",Far Rockaway,Far Rockaway,Health and Medicine
0,Empire Medical of Rockaway Beach,40.587323,-73.813679,"8820 Rockaway Beach Blvd (88th street), Rockaway Beach, NY 11693",Queens,Seaside,Health and Medicine
0,Menorah,40.576152,-73.93803,"1516 Oriental Blvd, Brooklyn, NY 11235",Brooklyn,Manhattan Beach,Health and Medicine
0,21 Avenue Animal Clinic PC,40.782063,-73.913911,"2127 21st Ave, Astoria, NY 11105",Astoria,Astoria,Health and Medicine
0,Cross Island Chiropractic Center,40.794101,-73.818239,"708 149th St, Queens, NY 11357",Queens,Beechhurst,Health and Medicine
0,Home Base Crisis Intervention,40.584125,-73.822921,"230 Beach 102nd St, Rockaway Park, NY 11694",Rockaway Park,Seaside,Health and Medicine
0,Yoen Cho Physical Therapy PC,40.762969,-73.813767,"15015 41st Ave, Flushing, NY 11354",Flushing,Flushing,Health and Medicine
0,PM Pediatrics,40.736389,-73.714382,"25311 Hillside Ave, Bellerose, NY 11426",Bellerose,Bellerose,Health and Medicine
0,Ayam De Leon Pt Pc,40.713274,-73.791145,"172 Highland Ave, Jamaica, NY 11432",Jamaica,Jamaica Hills,Health and Medicine
0,Jin Yiping Newyork Presbyterian Queens Hospital Flushing,40.747137,-73.825257,"5645 Main St (at Booth Memorial Ave.), Flushing, NY 11355",Flushing,Queensboro Hills,Health and Medicine
0,"LIC Optometry, PC",40.767376,-73.938612,"3250 Vernon Blvd (Broadway), Long Island City, NY 11106",Long Island City,Astoria South,Health and Medicine
0,Associated For The Help Of Retarded Children,40.666217,-73.849873,"8420 153rd Ave, Howard Beach, NY 11414",Howard Beach,Lidenwood,Health and Medicine
0,Advanced Cosmetic Surgery,40.674387,-73.73193,"13333 Brookville Blvd, Rosedale, NY 11422",Rosedale,Laurelton,Health and Medicine
0,Fishman CTR For Total Eye Care,40.732523,-73.866861,"9229 Queens Blvd, Rego Park, NY 11374",Rego Park,LeFrak City,Health and Medicine
0,Premier Health Services,40.593459,-73.796922,"430 Beach 68th St, Arverne, NY 11692",Arverne,Somerville,Health and Medicine
0,Dr Amin Office,40.728694,-73.744109,"8902 Springfield Blvd, Queens Village, NY 11427",Queens Village,Bellaire,Health and Medicine
0,Shop Eyeglasses Today,40.752272,-73.870817,"3537 Junction Blvd, Corona, NY 11368",Corona,Corona,Health and Medicine
0,Medex Healthcare Multispecialty Center,40.719039,-73.837737,"11129 Queens Blvd, Forest Hills, NY 11375",Forest Hills,Forest Hills,Health and Medicine
0,Covid-19 Vaccine Hub Site: Empire Outlets,40.644323,-74.075874,"55 Richmond Ter, New York, NY 10301",New York,Howland Hook,Health and Medicine
0,St Vincent's New Brighton Family Health Center,40.639281,-74.087554,"376 Jersey St, Staten Island, NY 10301",Staten Island,New Brighton,Health and Medicine
0,Manual Therapy Center,40.612641,-74.071079,"555 Tompkins Ave, Staten Island, NY 10305",Staten Island,Rosebank,Health and Medicine
0,Brook Island Medical Associates Ny State Disability,40.634579,-74.109148,"800 Castleton Ave, Staten Island, NY 10310",Staten Island,West New Brighton,Health and Medicine
0,St Joseph Medical Center,40.62482,-74.074802,"700 Bay St, Staten Island, NY 10304",Staten Island,St. George,Health and Medicine
0,Roccaro Gregory DVM,40.591508,-74.100645,"1564 Richmond Rd, Staten Island, NY 10304",Staten Island,Dongan Hills,Health and Medicine
0,Baltic Street AEH,40.579698,-74.078174,"777 Seaview Ave, Staten Island, NY 10305",Staten Island,Midland Beach,Health and Medicine
0,A Chainani DDS PC,40.636126,-74.134489,"205 Port Richmond Ave, Staten Island, NY 10302",Staten Island,Port Richmond,Health and Medicine
0,Neighborhood Health Center Elizabeth,40.650329,-74.184351,"184 1st St, Elizabeth, NJ 07206",Elizabeth,Port Ivory,Health and Medicine
0,Quest Diagnostics,40.611185,-74.119104,"78 Todt Hill Rd, Staten Island, NY 10314",Staten Island,Castleton Corners,Health and Medicine
0,CityMD Richmond Urgent Care - Staten Island,40.594008,-74.162446,"2187 Richmond Ave, Staten Island, NY 10314",Staten Island,New Springville,Health and Medicine
0,Victory Veterinary Practice,40.588362,-74.195771,"4316 Victory Blvd, Staten Island, NY 10314",Staten Island,Chelsea,Health and Medicine
0,Richmond OB-Gyn Associates PC At New Dorp,40.572168,-74.11429,"5 Coddington Ave, Staten Island, NY 10306",Staten Island,New Dorp,Health and Medicine
0,Core Physical Therapy,40.542959,-74.175785,"44 Jeanette Ave, Staten Island, NY 10312",Staten Island,Annadale,Health and Medicine
